beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Century Ale Brett Saison,Allagash Brewing Company,4.14,"#3,485",51,235,7%,13,33,5,Maine,Belgian Saison,8.00%,Rotating,"
Allagash Century Ale is a Brett Saison Brewed with Pilsner, Raw Wheat and Biscuit Malt. This beer is fermented for 2 years in stainless steel with a blend of a traditional Saison yeast and Brettanomyces. Before Packaging it is dry hopped with a blend of German and American experimental hops. Golden in color, Century Ale has aromas of toasted crackers, passion fruit and citrus. Complex flavors of biscuit and fruit are followed by a dry, slightly tart finish. This beer should be consumed fresh."
Parabajava,Firestone Walker Brewing Co.,4.54,#107,108,848,6.17%,430,172,23,California,Russian Imperial Stout,14.00%,Rotating,"
Parabajava ia an ongoing series exploring the infusion of coffee into our Parabola Barrel Aged Imperial Series. This first offering is a collaboration with the famed Intelligentsia Coffee Company, utilizing their El Diablo espresso blend. This beer was crated for our June 16th Father’s Day brunch at Lot 213 in L.A. The coffee brings intense coffee house espress aroma - roasty carmel, toffee, molasses and fresh ground coffee notes. The flavor melds well with the big rich character of the stout - complementary roasty flavors, dark baker’s chocolate, and more caramel which pairs well with Parabola’s rich malt and smokey oak bourbon notes. The finish is amazingly smooth and integrated."
Hollows,LIC Beer Project,4.41,#719,14,71,6.8%,9,6,0,New York,American Imperial IPA,8.50%,Rotating,"
Imperial IPA double dry-hopped with Mosaic, Motueka, and El Dorado."
Java Porter,Blind Tiger Brewery & Restaurant,3.83,"#20,058",10,27,13.84%,1,4,0,Kansas,American Porter,5.70%,Rotating,"
33 IBU"
Dark Apparition - Bourbon Barrel Aged,Jackie O's Pub & Brewery,4.33,#766,178,760,8.31%,489,196,32,Ohio,Russian Imperial Stout,11.50%,Rotating,"
No notes at this time."
Double Dry Hopped Double Mosaic Dream,Other Half Brewing Co.,4.56,#95,83,486,5.7%,93,73,0,New York,New England IPA,8.50%,Rotating,"
Double Dry Hopped Double Mosaic Dream is our standard Double Mosaic dry hopped a second time with a mosaic lupulin powder. Lupulin powder is a new hop product that is similar to our standard hops but with all the extra plant filler stripped away. It’s pure hops and it’s awesome."
Reaper,RAR Brewing (Realerevival),4.23,"#2,431",10,77,6.38%,15,10,0,Maryland,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
The Bluest,de Garde Brewing,4.47,"#1,247",0,25,6.26%,15,8,3,Oregon,American Wild Ale,7.00%,Rotating,"
A wild ale, aged in oak with Blueberries."
Snow King Pale Ale,Snake River Brewing Company & Brewpub,3.73,"#26,163",6,35,9.65%,1,8,0,Wyoming,American Pale Ale (APA),6.00%,Winter,"
No notes at this time."
Abita Bourbon Street Rye Pale Ale,Abita Brewing Co.,3.88,"#15,731",13,65,9.02%,2,20,0,Louisiana,Rye Beer,10.00%,Rotating,"
No notes at this time."
Athena,Creature Comforts,4.05,"#5,859",73,498,10.86%,40,152,6,Georgia,Berliner Weisse,4.50%,Year-round,"
No notes at this time."
Bayern Dump Truck,"Bayern Brewing, Inc. / Edelweiss Bistro",3.75,"#25,069",22,70,10.93%,4,12,0,Montana,German Maibock,6.00%,Summer,"
The recipe for this light, unfiltered, lager bock beer uses German sauermalt, organic Montana “Spitz malt”, Pilsener malt, plus three hoppings using Hallertauer Perle and the rare Tettnang aroma hops (both imported from Germany)."
Mosaic Dry Hopped Pale,Garrison City Beerworks,4.24,"#3,060",8,41,6.13%,1,11,0,New Hampshire,American Pale Ale (APA),5.10%,Rotating,"
No notes at this time."
$600 Lizard Shoes,3 Floyds Brewing Co.,4.25,"#3,199",2,34,6.59%,1,2,0,Indiana,American IPA,6.90%,Rotating,"
No notes at this time."
King Street IPA,King Street Brewing Company,4.05,"#7,290",13,60,8.15%,2,13,1,Alaska,American IPA,6.00%,Year-round,"
No notes at this time."
Tower Station IPA,Mother Road Brewery,4.19,"#2,562",48,186,8.83%,23,42,1,Arizona,American IPA,7.30%,Year-round,"
Tower Station IPA is an unfiltered IPA that greets you with a copper-orange hue and fluffy white head, releasing aromas of tangerine and pineapple. Pilsner and Pale malts balance hop-derived flavors of grapefruit peel and pine to finish the journey.​​"
Termination Dust,Midnight Sun Brewing Co.,4.19,"#3,148",20,78,8.11%,15,13,1,Alaska,British Barleywine,13.00%,Fall,"
No notes at this time."
Barrel Series Brett Belgo IPA,Blackberry Farm Brewery,4.11,"#7,264",7,25,7.54%,3,4,1,Tennessee,Belgian IPA,6.30%,Rotating,"
A Belgian-style IPA brewed and dry-hopped with Motueka and Jarrylo hops, blended and bottle-conditioned with brettanomyces bruxellensis"
Pabst Blue Ribbon (PBR),Pabst Brewing Company,2.94,"#44,172","1,806","5,864",25.17%,89,"1,514",1,California,American Adjunct Lager,4.74%,Year-round,"
- Pabst Blue Ribbon is brewed in the finest traditions of an American Premium Lager dating back to 1844. Brewed with a combination of 2 & 6-row malted barley, select cereal grains and American and European hops, Pabst Blue Ribbon is fermented with a proprietary lager yeast. Our unique fermentation and maturation process results in a smooth, full bodied beer with a clean, crisp finish with a fine noble hop aroma."
Citra Solo IPA,Lead Dog Brewing,3.85,-,1,11,5.45%,0,2,0,Nevada,American IPA,6.40%,Year-round,"
No notes at this time."
Oatmeal Porter,Zipline Brewing Co,3.88,"#15,277",22,111,10.05%,4,33,2,Nebraska,American Porter,6.00%,Year-round,"
All the dark chocolate and coffee notes you expect from a porter with locally sourced, rolled oats delivering an uncommonly silky smooth finish."
Painted Rock Porter,Flathead Lake Brewing Company,3.93,"#16,800",2,12,7.89%,0,0,0,Montana,American Porter,6.50%,Year-round,"
26 IBU"
Foggier Window,Monkish Brewing Co.,4.51,#207,22,161,6.21%,46,13,0,California,New England IPA,8.10%,Rotating,"
No notes at this time."
Black IPA,Zipline Brewing Co,4.09,"#7,426",3,29,11.98%,2,4,0,Nebraska,American Black Ale,8.00%,Rotating,"
No notes at this time."
Red Rock Elephino,Red Rock Brewing Company,3.93,"#11,808",40,167,10.43%,11,51,0,Utah,American Imperial IPA,8.00%,Year-round,"
Red Rock's Elephino (el-uh-fine-oh) Double India Pale Ale is an American style IPA. Its intense citrus, floral and perfume-like, resinous and piney aroma come from the use of a copious amount of American hops. This beer is double dry-hopped on whole leaf Amarillo hops for a vivid, fresh aroma. The huge hop profile is backed up by a malty sweetness that lends a hand in this fine creation's balance."
Double Dry-Hopped Fuego,Tonewood Brewing,4.28,"#6,388",1,11,2.1%,1,3,0,New Jersey,American IPA,6.20%,Rotating,"
No notes at this time."
Call It A Day,Moat Mountain Smoke House & Brewing Co.,4.14,"#4,279",20,68,6.04%,2,20,0,New Hampshire,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Wet When Slippery,Hoof Hearted Brewing,4.23,"#2,360",20,83,8.51%,6,11,0,Ohio,American Imperial IPA,8.00%,Rotating,"
Brewed with passionfruit."
Stormy Oat IPA,North Peak Brewing Company,4.23,"#2,768",18,56,6.62%,5,5,2,Michigan,New England IPA,6.70%,Rotating,"
Stormy is full of haziness from the oat malt along with late/dry hop additions to create a juiciness mouth feel with citrus, piney notes unlike any other IPA."
Snipe Hunt IPA,Folklore Brewing & Meadery,4.25,"#7,042",4,11,11.06%,0,8,0,Alabama,American IPA,not listed,Rotating,"
No notes at this time."
Super Duper Double Citra,Thomas Hooker Brewing Company,4.18,-,8,47,7.18%,2,12,0,Connecticut,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,4.72,#14,38,203,5.3%,125,15,1,Florida,American Imperial Stout,11.00%,Rotating,"
No notes at this time."
State Pen Porter,Santa Fe Brewing Company,3.81,"#20,133",142,360,9.97%,14,52,0,New Mexico,American Porter,6.40%,Year-round,"
A trademark beer of the Santa Fe Brewing Company’s master brewer, Ty Levis, the State Pen Porter has every reason to be one of his favorites. It is flavorful, swimming with notes of nuts and chocolate; it is drinkable, so drinkable that it is almost as if pint after pint were drinking itself."
False Face,Birds Fly South Ale Project,4.03,"#12,754",1,12,6.95%,1,1,0,South Carolina,American Wild Ale,5.80%,Rotating,"
No notes at this time."
Reasonably Corrupt,Great Raft Brewing,3.88,"#15,074",28,153,8.76%,3,47,1,Louisiana,German Schwarzbier,5.50%,Year-round,"
No notes at this time."
To Øl / Mikkeller Overall IIPA,To Øl,4.08,"#5,742",44,89,10.05%,6,7,1,Denmark,American Imperial IPA,10.50%,Rotating,"
One of two sequels to the Mikkeller/To Øl collab “Overall IIPA”. The same beer base as Overall, but this time cleverly refermented with wild yeast (Primarily brettanomyces). The tart, funky and odorous aromas of the brett interact with the fruity and bitter palate of the IIPA and results in somewhat of a hybrid beer. This beer might be a reference to some Belgian classic, but you have to figure it out yourself…"
E.,Hill Farmstead Brewery,4.29,"#1,085",87,582,7.69%,319,73,7,Vermont,Belgian Saison,7.00%,Rotating,"
E is definitely not a Belgian IPA - it's a funky version of Edward (american pale ale) - fermented with brettanomyces, dry hopped with galaxy, and aged on stainless for four months. Basically, we refer to it as a farmhouse pale ale - a cross between a saison and an american pale."
Big OJ,515 Brewing Company,4.3,"#6,004",1,11,5.35%,0,1,0,Iowa,American Imperial IPA,not listed,Rotating,"
No notes at this time."
The Stalk,Proclamation Ale Company,4.24,"#2,026",17,111,8.73%,4,28,0,Rhode Island,American Imperial IPA,8.60%,Rotating,"
No notes at this time."
In the Money,La Cumbre Brewing Co.,4.27,-,5,12,6.56%,0,0,0,New Mexico,American Imperial IPA,8.50%,Limited (brewed once),"
No notes at this time."
All Green Everything,Other Half Brewing Co.,4.41,#363,131,"1,077",6.8%,366,184,9,New York,American Imperial IPA,10.50%,Rotating,"
A huge, but dry, triple IPA packed with Motueka, Amarillo, Citra and Mosaic."
Percolator Series: Biere Joi,Bayou Teche Brewery,3.96,"#13,838",4,19,5.56%,2,0,0,Louisiana,Belgian Dubbel,7.00%,Spring,"
Aged in whiskey barrels with coffee, cocoa nibs, peppers."
Rhode Trip,Newport Craft Brewing & Distilling Co.,3.83,"#19,757",7,36,8.88%,1,8,0,Rhode Island,American IPA,6.30%,Rotating,"
Like the road trip itself, this beer is about the journey as much as the destination. Each time we brew this hazy IPA we choose a new hop to feature in all its glory. Thanks for coming along for the trip."
Vanilla Bean Blonde Ale,Infusion Brewing Co.,3.72,"#26,950",11,60,18.01%,2,22,0,Nebraska,American Blonde Ale,4.80%,Rotating,"
No notes at this time."
Spiral Architect,Counter Weight Brewing Company,4.19,"#3,952",7,41,5.49%,5,11,0,Connecticut,American Imperial IPA,8.20%,Year-round,"
Citra and Simcoe"
Black Tuesday - Port Barrel-Aged,The Bruery,4.44,#413,18,122,7.21%,46,37,6,California,American Imperial Stout,17.80%,Rotating,"
2014 - 19.5% ABV"
Void Oatmeal Stout,Counter Weight Brewing Company,4.28,"#2,656",4,35,5.61%,2,3,0,Connecticut,English Oatmeal Stout,7.00%,Rotating,"
Aromatic and full bodied with notes of chocolate and pronounced coffee qualities."
Blend Love,Upright Brewing Company,4.26,"#1,504",38,269,6.81%,207,35,3,Oregon,American Wild Ale,5.50%,Rotating,"
A mix of barrel aged Four and Six using cherry and raspberry along with souring yeasts and bacteria. It's fruit forward in the nose with a balanced flavor bringing the malts and oak together. Named for friend and colleague Ben Love of Gigantic Brewing Company."
RuinTen Triple IPA,Stone Brewing,4.3,#936,910,"5,851",9.3%,373,"1,110",5,California,American Imperial IPA,10.80%,Rotating,"
We first released this decidedly indelicate beer in 2012, as Stone Ruination Tenth Anniversary IPA, to celebrate the 10th anniversary of our belovedly bitter Stone Ruination IPA. Stone RuinTen IPA uses the same recklessly hoppy recipe as the 2012 release; only the name has changed, as we plan to unleash this belligerently delicious hop monster upon the public annually from now on. We packed a whopping five pounds of hops into each barrel, and cranked up the ABV to stand up to the hop onslaught. The results are glorious, and we know you'll rejoice in tasting this audacious gem of hoppy splendor once again. You're welcome."
Brewer's Art Beazly Golden Ale,The Brewer's Art,4.01,"#7,409",141,415,10.47%,35,60,1,Maryland,Belgian Strong Pale Ale,7.30%,Year-round,"
Our answer to the Belgian «devil» beers (i.e. Lucifer, Duvel, etc.). Both rich and dry, this beer is all too easy to consume in large quantities. Hopped with Styrian Goldings. "
Hop Rod Rye,Bear Republic Brewing Co.,4.22,"#1,776","2,082","4,732",9.72%,297,379,2,California,American IPA,8.00%,Year-round,"
A high gravity IPA brewed with 18% rye malt. Hop Rod Rye has a floral hop aroma and subtle caramel notes with a slightly earthy and spicy rye character."
Thresher,Right Proper Brewing Company - Shaw Brewpub,3.91,"#18,208",1,10,6.91%,0,1,0,District of Columbia,Belgian Saison,5.00%,Rotating,"
No notes at this time."
Schneider Weisse Tap 5 Meine Hopfenweisse,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.09,"#4,370",778,"1,433",11%,62,167,1,Germany,German Weizenbock,8.20%,Rotating,"
Schneider version. This brew is the result of the long friendship of Brooklyn brewmaster Garrett Oliver and Schneider brewmaster Hans-Peter Drexler. Garrett had always admired the delicate balance of flavors in Schneider Weisse, while Hans-Peter had long enjoyed the effusive hop character of Brooklyn East India Pale Ale and BLAST! Garrett's concept for the collaboration was that each brewmaster would brew essentially the same pale, hoppy weissbock in the other's brewery, but with different hopping to reflect the local hop flavor."
Monmouth Red,Allagash Brewing Company,4.16,"#3,513",8,99,8.17%,2,7,0,Maine,American Wild Ale,9.00%,Rotating,"
Sour Red in Apple Brandy Barrels"
Citron,Mispillion River Brewing,4.05,"#10,866",1,16,8.15%,1,1,0,Delaware,Belgian Saison,6.70%,Rotating,"
No notes at this time."
Brewer's Art Green Peppercorn Tripel,The Brewer's Art,4.08,"#5,130",118,207,9.8%,60,24,0,Maryland,Belgian Tripel,9.20%,Rotating,"
No notes at this time."
Brewers Reserve Bourbon Barrel Cassian Sunset,Central Waters Brewing Co.,4.37,#532,171,663,5.95%,72,172,25,Wisconsin,American Imperial Stout,11.70%,Rotating,"
A bourbon barrel aged imperial stout with local Emy J's coffee, whole vanilla beans, and cinnamon. The flavor profile of this wonderful beer boasts a lush mouthfeel, with just the right amount of creamy spice character to meld with the rich malt and barrel aged profile."
T.O.R.I.S. The Tyrant,Hoppin' Frog Brewery,4.31,"#1,078",53,184,6.73%,8,43,4,Ohio,Russian Imperial Stout,13.80%,Rotating,"
Triple Oatmeal Russian Imperial Stout is rich, dark, and flavorful - the way we like it - this beer is intense! It has been long-awaited by our brewery as well as our fans. There comes a day when you break out of your shell, and stretch your wings. Now is the time - time for T.O.R.I.S.!!"
Stoneface RIS,Stoneface Brewing Co.,4.38,#630,22,177,7.53%,48,42,5,New Hampshire,Russian Imperial Stout,9.50%,Rotating,"
Brewed with cold brew coffee from Port City Roasters and Tahitian vanilla, our Russian Imperial Stout features a velvety smooth mouthfeel paired with a robust, complex flavor profile."
Siberian Black Magic Panther,Westbrook Brewing Co.,4.22,"#2,038",50,214,6.4%,22,60,9,South Carolina,American Imperial Stout,12.00%,Rotating,"
This beer is as hairy as a Siberian... or as a panther. And you better believe it because it gets the black magic from mountains of roasted malts and dark candi syrup. During the long weeks in the fermentor it gathers its rage... a rage this mythical beast of imperial stout wants to unleash on your taste buds."
Double Dry Hopped Mylar Daydream,Other Half Brewing Co.,4.45,-,16,100,4.49%,5,17,0,New York,American Imperial IPA,8.80%,Rotating,"
DDH Mylar Daydream ImperialOoatCcream IPA (8%) hopped with amarillo, citra, galaxy, mosaic, and then DDH’ed with even more Citra, Galaxy, and Mosaic."
Prairie Puncheon,Prairie Artisan Ales,3.96,"#9,743",66,536,9.34%,22,77,10,Oklahoma,Belgian Saison,7.00%,Rotating,"
Puncheon is a farmhouse rye ale fermented in large oak barrels with several different wild bacteria strains. Tropical citrus notes and sourness can be detected with hints of oak."
Riegele Augustus Weizendoppelbock,Brauhaus Riegele,4.01,"#9,241",12,48,9.98%,1,10,0,Germany,German Weizenbock,8.00%,Year-round,"
No notes at this time."
Little Juice Smoothie - Freshie Edition,Three Magnets Brewing,4.24,"#5,288",4,17,3.3%,1,0,0,Washington,American IPA,7.00%,Fall,"
No notes at this time."
Chocolatized,Pisgah Brewing Co.,4.3,"#2,652",13,30,5.81%,2,6,0,North Carolina,Russian Imperial Stout,11.20%,Winter,"
No notes at this time."
Curmudgeon,Founders Brewing Company,4.03,"#6,394","1,344","4,821",10.42%,225,"1,179",51,Michigan,English Old Ale,9.80%,Rotating,"
Think classic seafaring ports, local pubs and weathered old fishermen. This old ale is brewed with molasses and an insane focus on the malt bill. Then Oak-Aged. The result is a rich, malty delight that's deceptively smooth and drinkable."
Drip Down,Brotherton Brewing Company,4.36,"#3,237",2,17,5.96%,0,1,0,New Jersey,American IPA,7.00%,Rotating,"
Saturated hop vibrations!"
Crikey IPA,Reuben's Brews,4.05,"#6,219",45,182,7.41%,7,30,0,Washington,American IPA,6.80%,Rotating,"
No notes at this time."
Schneider Weisse Tap 1 Mein Blondes,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.13,"#3,560",134,358,12.59%,121,86,0,Germany,German Hefeweizen,4.90%,Year-round,"
Also known as Schneider Weisse Tap 1 Meine Helle Weisse"
Hop Harvest Saison,Farnam House Brewing Company,3.98,"#15,505",2,10,8.54%,0,1,0,Nebraska,Belgian Saison,6.00%,Fall,"
No notes at this time."
Fathead Barleywine - Reserve Series Aged In Whiskey Barrels,Nebraska Brewing Company,3.95,"#10,783",46,144,10.38%,46,43,0,Nebraska,American Barleywine,12.10%,Rotating,"
A rich, full bodied Barley Wine with a wonderfully warming character from the malts & dark brown sugars. Held to the light, its burgundy color is fitting for a bigger beer that has aromatics that hint of the oak, the whiskey, the somewhat sweet nature, and molasses that makes this beer truly unique. The non-barrel-aged version of this beer took Silver in the 2009 US Open Beer Championships. Using Stranahan’s Whiskey barrels, we aged this beer for 6 months to impart a small amount of oak tannins and the whiskey character that combine to elevate this beer beyond its original entry into this world. Excellent to enjoy now and cellerable for years."
Teppistenbier,White Pony Microbrewery,4.19,"#5,234",6,24,11.93%,4,4,0,Italy,Belgian Quadrupel (Quad),11.70%,Year-round,"
No notes at this time."
El Gato Diablo,Barrel Theory Beer Company,4.38,-,6,13,4.34%,0,3,1,Minnesota,American Imperial Stout,9.00%,Rotating,"
A Mexican Stout with vanilla, cacao, ancho & pasilla chiles and cinnamon. It’s roasty, it’s sweet, it’s spicy, it’s what you’re looking for."
Sun Fade,La Cumbre Brewing Co.,4.28,-,5,16,5.84%,0,4,0,New Mexico,American IPA,6.50%,Rotating,"
No notes at this time."
B.O.R.I.S. The Crusher - Extended Barrel-Aged,Hoppin' Frog Brewery,4.35,"#2,006",8,30,4.37%,3,4,2,Ohio,Russian Imperial Stout,9.40%,Rotating,"
No notes at this time."
Export Porter 1750,Brouwerij Kees,4.12,"#4,737",36,74,7.52%,8,6,0,Netherlands,Baltic Porter,10.50%,Year-round,"
No notes at this time."
Fancy IPA,McFate Tap + Barrel - North Scottsdale,4.08,"#10,699",1,13,8.09%,0,3,0,Arizona,American IPA,7.40%,Year-round,"
No notes at this time."
Hazelnut Southern Brown,Core Brewing & Distilling Co.,3.87,"#18,748",3,16,19.12%,1,4,0,Arkansas,American Brown Ale,6.00%,Rotating,"
No notes at this time."
Riot In Vermont,Prison City Pub & Brewery,4.62,#773,4,19,4.33%,1,3,0,New York,American IPA,6.50%,Rotating,"
No notes at this time."
Bling India Pale Ale,Bridge Road Brewers,3.69,"#28,653",22,41,9.21%,2,2,0,Australia,English India Pale Ale (IPA),5.80%,Year-round,"
No notes at this time."
Sunken Island IPA,Kenai River Brewing Co.,3.85,"#18,671",14,31,8.05%,4,3,0,Alaska,English India Pale Ale (IPA),6.80%,Year-round,"
An off-white head sits atop an attractive amber beer. The aroma is a complex mix of hops and malt with traces of yeast. Assertively spicy hops balanced by a rich malty profile will entice the pallet. The finish is long with a lingering hop bitterness."
Undercover Investigation Shut-down Ale,Lagunitas Brewing Company,4.07,"#4,956","1,073","4,467",10.07%,144,"1,067",7,California,American Strong Ale,9.60%,Rotating,"
ABV varies slightly from 9.0 to 9.8"
Sins Of Our Fathers Imperial Stout,Crooked Fence Brewing,3.82,"#20,120",11,49,14.4%,5,10,0,Idaho,American Imperial Stout,10.00%,Rotating,"
No notes at this time."
Nouveaux Mondes,Brasserie Du Mont Salève,3.81,"#22,012",5,14,8.4%,0,0,0,France,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Bear Wallow Berliner Weisse (Grapefruit),Arizona Wilderness Brewing Co.,4.17,"#8,464",0,12,11.03%,2,0,0,Arizona,Berliner Weisse,3.80%,Rotating,"
No notes at this time."
Barrel-Aged Abraxas,Perennial Artisan Ales,4.74,#3,145,"1,449",6.33%,"2,560",216,7,Missouri,American Imperial Stout,11.00%,Rotating,"
Imperial Stout aged Twelve months in Rittenhouse Rye barrels with cacao nibs, vanilla beans, ancho chiles & cinnamon sticks"
Refreshing Double IPA,Tired Hands Brewing Company,4.31,"#1,338",16,95,6.5%,1,11,0,Pennsylvania,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
The Pas,de Garde Brewing,4.31,"#2,336",6,33,6.73%,1,9,1,Oregon,American Wild Ale,5.20%,Rotating,"
No notes at this time."
Juicy Nuggets,450 North Brewing Company,4.3,-,4,15,4.19%,2,0,0,Indiana,American IPA,7.20%,Limited (brewed once),"
No notes at this time."
Imperial Longship,HammerHeart Brewing Company,4.23,"#3,777",4,30,6.86%,0,4,0,Minnesota,Scotch Ale / Wee Heavy,11.00%,Rotating,"
An imperial version of Flaming Longship."
Scotia Scotch Ale,Bosque Brewing Co.,4.01,"#9,782",9,37,10.22%,1,12,0,New Mexico,Scottish Ale,7.80%,Rotating,"
No notes at this time."
35 Years,Side Project Brewing,4.59,-,4,26,5.23%,5,3,0,Missouri,American Wild Ale,6.00%,Limited (brewed once),"
Missouri wild ale aged in a rye whiskey sherry barrel."
Nelson Single Hop,Hill Farmstead Brewery,4.39,#460,70,459,6.83%,123,23,0,Vermont,American Pale Ale (APA),5.20%,Rotating,"
An American Pale Ale bittered, flavored, and dry hopped exclusively with Nelson Sauvin."
Quarta Runa,Birrificio Montegioco,4.04,"#7,638",33,60,8.42%,16,4,1,Italy,Belgian Strong Pale Ale,7.00%,Year-round,"
Belgian-inspired ale brewed with fresh peaches."
Birra di Sangiovese,Jester King Brewery,4.33,-,6,29,4.62%,3,6,1,Texas,American Wild Ale,7.40%,Limited (brewed once),"
No notes at this time."
Mr. Brown 2018,To Øl,4.2,-,5,18,3.57%,0,1,1,Denmark,English Stout,10.00%,Limited (brewed once),"
No notes at this time."
Freak Of Nature,Wicked Weed Brewing,4.3,#966,197,"1,438",7.67%,277,332,8,North Carolina,American Imperial IPA,8.50%,Year-round,"
The Freak of Nature is our San Francisco inspired hoppy monster. At 8% abv and who knows how many ibu’s, this beer is our shrine to the Hop. Absurd amounts of the big West Coast hops gives this beer its citrusy, weedy nose and big, dank flavor. We dry hop with 48lbs per batch, which is over 3lbs of hops per barrel. In keeping with the classic style of the West Coast double, sugar plays a large part in creating this dry and minimally bitter double IPA. The Freak is particularly pintable for the style, so if you dare to enter, we welcome you to the Freak Show."
Tonganoxie Honey Wheat,High Noon Saloon & Brewery,3.2,"#40,761",5,15,12.81%,2,1,0,Kansas,American Pale Wheat Ale,4.46%,Year-round,"
Originally brewed with local honey from Tonganoxie, KS... This light and refreshing winner is served with a slice of lemon."
